Name,Rating,Pricing,Number of Reviews,Location,Category
Superica,4.4,,300,Nashville,Tex-Mex
Bastion,4.5,,252,Nashville,Cocktail Bars
DeSano Pizza Bakery,4.3,,1157,Nashville,Pizza
Black Rabbit,4.1,,245,Nashville,Tapas/Small Plates
Milo Cafe,4.7,,29,Portland,Cafes
El Azteca Mexican Restaurant,3.4,,21,Portland,Mexican
Tacos Mi Jalisco,4.8,,17,Portland,Mexican
Portland Pizza & Pub,4.4,,27,Portland,Pizza
Senor Fajitas,4.0,,42,Portland,Mexican
The Barbecue Pit,4.2,,24,Portland,Barbeque
5 Chefs,3.7,,44,Portland,New American
My Time Cafe,3.2,,9,Portland,Cafes
Bento Japanese Express,3.8,,30,Portland,Sushi Bars
Colorado Grill,4.1,,45,Portland,Steakhouses
Mr Wok,3.2,,32,Portland,Chinese
Milli’s Taqueria,5.0,,6,Portland,Mexican
International Tea and Coffee,4.5,,2,Portland,Coffee & Tea
Cousins Maine Lobster - Nashville,3.7,,190,Portland,Food Trucks
Pizza Hut,2.7,,19,Portland,Pizza
Arby's,2.9,,8,Portland,Fast Food
Neon Kitchen,3.1,,8,Portland,Italian
Little Caesars,1.8,,10,Portland,Pizza
Burger King,3.4,,7,Portland,Fast Food
Sonic Drive-In,1.8,,12,Portland,Burgers
Sol Azteca Franklin,3.9,,39,Portland,Mexican
McDonald's,1.4,,23,Portland,Fast Food
Brewster's Bar & Grille,3.1,,22,Portland,New American
Delaney's Street Eats,4.5,,2,Portland,Food Trucks
Johnson's Crossroads Cafe & Market,4.4,,18,Portland,Restaurants
Subway,2.2,,5,Portland,Sandwiches
Franklin Steakhouse,3.7,,24,Portland,Steakhouses
Sol Azteca,3.8,,17,Portland,Mexican
Hardee's,3.2,,5,Portland,Fast Food
Domino's Pizza,2.3,,11,Portland,Pizza
Pupuseria Josellin,5.0,,1,Portland,Mexican
Waffle House - Franklin,3.6,,20,Portland,Diners
Vansauwa's Tacos,4.8,,5,Portland,Food Trucks
Cracker Barrel Old Country Store,2.8,,54,Portland,Breakfast & Brunch
Dairy Queen Grill & Chill,2.2,,5,Portland,Fast Food
Denny's,2.4,,35,Portland,Diners
Papa Johns Pizza,2.2,,6,Portland,Pizza
Jims Barbeque,5.0,,1,Portland,Barbeque
Quiznos,1.2,,6,Portland,Sandwiches
Cantrell’s Grill,1.0,,1,Portland,Food Trucks
GRAY'S On Main,3.7,,683,Franklin,Bars
Red Pony,4.4,,552,Franklin,American
Cork & Cow,4.3,,323,Franklin,Steakhouses
55 South - Franklin,4.2,,760,Franklin,Southern
Puckett's Grocery & Restaurant,4.2,,1119,Franklin,Barbeque
O' Be Joyful,4.1,,119,Franklin,Burgers
JJ's Wine Bar,4.0,,154,Franklin,Wine Bars
Culaccino,4.2,,272,Franklin,Italian
McCreary's Irish Pub and Eatery,3.9,,200,Franklin,Irish Pub
Serrato's Steakhouse,4.6,,190,Franklin,Steakhouses
Pueblo Real Mexican Restaurant - Franklin,4.3,,367,Franklin,Bars
Franklin Chop House,3.9,,182,Franklin,New American
Mojo's Tacos,4.1,,383,Franklin,Tacos
Mellow Mushroom Franklin,3.5,,359,Franklin,Pizza
Quinn's Neighbourhood Pub and Eatery,4.0,,271,Franklin,Pizza
Ground Restaurant,4.3,,157,Franklin,Burgers
Frothy Monkey,4.0,,552,Franklin,Coffee & Tea
Chrysalis,4.5,,369,Franklin,Italian
BrickTop's,4.0,,328,Franklin,New American
Pasta and Cream,4.6,,378,Franklin,Italian
Hop House Tennessee Taps,4.5,,63,Franklin,Beer Bar
The White Alligator,4.5,,41,Franklin,Seafood
Brixx Wood Fired Pizza + Craft Bar,4.0,,271,Franklin,Pizza
1799 Kitchen & Cocktails,3.7,,80,Franklin,New American
Sal's Family Pizza,3.8,,212,Franklin,Pizza
Tupelo Honey Southern Kitchen & Bar,4.0,,1247,Franklin,Southern
Ruby Sunshine,4.0,,534,Franklin,Breakfast & Brunch
North Italia- Franklin,4.1,,242,Franklin,Italian
Koi Sushi & Thai,4.0,,219,Franklin,Asian Fusion
Biscuit Love - Franklin,4.0,,574,Franklin,Breakfast & Brunch
Hogwood BBQ,4.3,,454,Franklin,Barbeque
Merridee's Breadbasket,4.1,,433,Franklin,Bakeries
Sperry's Restaurant,4.1,,406,Franklin,Steakhouses
Zolo's Italian Restaurant,3.3,,155,Franklin,Italian
Ground Restaurant - Cool Springs,4.4,,487,Franklin,American
J. Alexander's,4.0,,400,Franklin,New American
Stoney River,4.0,,345,Franklin,Steakhouses
Perry's Steakhouse & Grille - Cool Springs,3.8,,259,Franklin,Steakhouses
Garcia's,3.9,,198,Franklin,Mexican
Wild Ginger Restaurant,4.1,,543,Franklin,Asian Fusion
Hattie B's Hot Chicken - Franklin,4.4,,31,Franklin,Chicken Shop
Mi Kitchen,4.8,,138,Franklin,Tapas Bars
Big Shake's Hot Chicken & Fish,4.0,,502,Franklin,Chicken Shop
Connors Steak & Seafood,3.9,,377,Franklin,Seafood
Gina's Stonefired Italian & Pizzeria,3.8,,168,Franklin,Pizza
Party Fowl - Cool Springs,4.1,,385,Franklin,Southern
Pita Way - Cool Springs,4.8,,120,Franklin,Mediterranean
Sopapilla's,3.9,,800,Franklin,Mexican
Franklin Mercantile Deli,3.7,,147,Franklin,Delis
Sakura Japanese Restaurant,3.9,,87,Franklin,Japanese
